model,fpr,tpr
RandomForestClassifier,0.0,0.0
RandomForestClassifier,0.0,0.375
RandomForestClassifier,0.0,0.453125
RandomForestClassifier,0.0,0.578125
RandomForestClassifier,0.0,0.640625
RandomForestClassifier,0.0,0.703125
RandomForestClassifier,0.0,0.796875
RandomForestClassifier,0.0,0.859375
RandomForestClassifier,0.0,0.921875
RandomForestClassifier,0.0,0.953125
RandomForestClassifier,0.0,1.0
RandomForestClassifier,0.025,1.0
RandomForestClassifier,0.1,1.0
RandomForestClassifier,0.175,1.0
RandomForestClassifier,0.225,1.0
RandomForestClassifier,0.25,1.0
RandomForestClassifier,0.3,1.0
RandomForestClassifier,0.35,1.0
RandomForestClassifier,0.425,1.0
RandomForestClassifier,0.525,1.0
RandomForestClassifier,0.575,1.0
RandomForestClassifier,1.0,1.0
LogisticRegression,0.0,0.0
LogisticRegression,0.0,0.015625
LogisticRegression,0.0,0.03125
LogisticRegression,0.0,0.09375
LogisticRegression,0.0,0.15625
LogisticRegression,0.0,0.1875
LogisticRegression,0.0,0.28125
LogisticRegression,0.0,0.3125
LogisticRegression,0.0,0.359375
LogisticRegression,0.0,0.390625
LogisticRegression,0.0,0.484375
LogisticRegression,0.0,0.53125
LogisticRegression,0.0,0.671875
LogisticRegression,0.0,0.703125
LogisticRegression,0.0,0.734375
LogisticRegression,0.0,0.765625
LogisticRegression,0.0,0.828125
LogisticRegression,0.0,0.859375
LogisticRegression,0.0,0.890625
LogisticRegression,0.025,0.890625
LogisticRegression,0.025,0.96875
LogisticRegression,0.05,0.96875
LogisticRegression,0.125,0.96875
LogisticRegression,0.175,0.96875
LogisticRegression,0.175,0.984375
LogisticRegression,0.225,0.984375
LogisticRegression,0.425,0.984375
LogisticRegression,0.475,0.984375
LogisticRegression,0.525,0.984375
LogisticRegression,0.65,0.984375
LogisticRegression,0.8,0.984375
LogisticRegression,0.8,1.0
LogisticRegression,0.9,1.0
LogisticRegression,0.95,1.0
LogisticRegression,1.0,1.0
KNeighborsClassifier,0.0,0.0
KNeighborsClassifier,0.0,0.78125
KNeighborsClassifier,0.0,0.875
KNeighborsClassifier,0.025,0.953125
KNeighborsClassifier,0.025,0.96875
KNeighborsClassifier,0.05,0.984375
KNeighborsClassifier,1.0,1.0
SVC,0.0,0.0
SVC,0.0,0.03125
SVC,0.0,0.0625
SVC,0.0,0.125
SVC,0.0,0.28125
SVC,0.0,0.3125
SVC,0.0,0.34375
SVC,0.0,0.375
SVC,0.0,0.40625
SVC,0.0,0.4375
SVC,0.0,0.484375
SVC,0.0,0.53125
SVC,0.0,0.8125
SVC,0.0,0.84375
SVC,0.0,0.890625
SVC,0.0,0.921875
SVC,0.0,0.953125
SVC,0.025,0.953125
SVC,0.025,0.984375
SVC,0.05,0.984375
SVC,0.05,1.0
SVC,0.075,1.0
SVC,0.15,1.0
SVC,0.175,1.0
SVC,0.225,1.0
SVC,0.325,1.0
SVC,0.375,1.0
SVC,0.4,1.0
SVC,0.45,1.0
SVC,0.7,1.0
SVC,0.825,1.0
SVC,0.875,1.0
SVC,1.0,1.0
